Question,A,B,C,D,Answer,Qtype
 Which of these best describes an array?,"
 A data structure that shows a hierarchical behaviour","
 Container of objects of similar types","
 Arrays are immutable once initialised","
 Array is not a data structure", b,DS
 How do you initialize an array in C?,"
 int arr[3] = (1,2,3);","
 int arr(3) = {1,2,3};","
 int arr[3] = {1,2,3};","
 int arr(3) = (1,2,3);", c,DS
 How do you instantiate an array in Java?,"
 int arr[] = new int(3);","
 int arr[];","
 int arr[] = new int[3];","
 int arr() = new int(3);", c,DS
 Which of the following is a correct way to declare a multidimensional array in Java?,"
 int[] arr;","
 int arr[[]];","
 int[][]arr;","
 int[[]] arr;", c,DS
 What is the output of the following piece of code?, 3 and 5,"
 5 and 3","
 2 and 4","
 4 and 2", a,DS
 What is the output of the following piece of code?,4,"
 5","
 ArrayIndexOutOfBoundsException","
 InavlidInputException", c,DS
 When does the ArrayIndexOutOfBoundsException occur?,"
 Compile-time","
 Run-time","
 Not an error","
 Not an exception at all", b,DS
 Which of the following concepts make extensive use of arrays?,"
 Binary trees","
 Scheduling of processes","
 Caching","
 Spatial locality", d,DS
 What are the advantages of arrays?,"
 Objects of mixed data types can be stored","
 Elements in an array cannot be sorted","
 Index of first element of an array is 1","
 Easier to store elements of same data type", d,DS
 What are the disadvantages of arrays?,"
 Data structure like queue or stack cannot be implemented","
 There are chances of wastage of memory space if elements inserted in an array are lesser than the allocated size","
 Index value of an array can be negative","
 Elements are sequentially accessed", b,DS
"1 Assuming int is of 4bytes, what is the size of int arr[15];?","
 15","
 19","
 11","
 60", d,DS
"1 In general, the index of the first element in an array is __________","
 0","
 -1","
 2","
 1", a,DS
1 Elements in an array are accessed _____________,"
 randomly","
 sequentially","
 exponentially","
 logarithmically", a,DS
 Process of inserting an element in stack is called ____________,"
 Create","
 Push","
 Evaluation","
 Pop", b,DS
 Process of removing an element from stack is called __________,"
 Create","
 Push","
 Evaluation","
 Pop", d,DS
" In a stack, if a user tries to remove an element from empty stack it is called _________","
 Underflow","
 Empty collection","
 Overflow","
 Garbage Collection", a,DS
" Pushing an element into stack already having five elements and stack size of 5, then stack becomes","
 Overflow","
 Crash","
 Underflow","
 User flow", a,DS
 Entries in a stack are “ordered”. What is the meaning of this statement?,"
 A collection of stacks is sortable","
 Stack entries may be compared with the ‘<‘ operation","
 The entries are stored in a linked list","
 There is a Sequential entry that is one by one", d,DS
 Which of the following applications may use a stack?,"
 A parentheses balancing program","
 Tracking of local variables at run time","
 Compiler Syntax Analyzer","
 Data Transfer between two asynchronous process", d,DS
 Consider the usual algorithm for determining whether a sequence of parentheses is balanced.,"
The maximum number of parentheses that appear on the stack AT ANY ONE TIME when the algorithm analyzes: (()(())(())) are:","
 1","
 2","
 3", c,DS
