id,qno,Question,A,B,C,D,Answer,qtype
1,1,"#include<stdio.h>

int main()
{
    int a[3][4] = {1, 2, 3, 4, 4, 3, 2, 1, 7, 8, 9, 0};
    printf(""%u, %u\n"", a+1, &a+1);
    return 0;
}
What will be the output of the program in Turb C (under DOS)?
","65474, 65476","65480, 65496","65480, 65488","65474, 65488",B,C
1,1,"#include<stdio.h>

int main()
{
    char huge *near *far *ptr1;
    char near *far *huge *ptr2;
    char far *huge *near *ptr3;
    printf(""%d, %d, %d\n"", sizeof(ptr1), sizeof(*ptr2), sizeof(**ptr3));
    return 0;
}
What will be the output of the program?
","4, 4, 4","2, 4, 4","4, 4, 2","2, 4, 8",A,C
1,1,"#include<stdio.h>

int main()
{
    int a[3][4] = {1, 2, 3, 4, 4, 3, 2, 1, 7, 8, 9, 0};
    printf(""%u, %u\n"", a+1, &a+1);
    return 0;
}
What will be the output of the program in Turb C (under DOS)?
","1, 2, 3, 4, 5,","Garbage value, 1, 2, 3, 4,","0, 1, 2, 3, 4,","2, 3, 4, 5, 6,",B,C
1,1,"#include<stdio.h>

int main()
{
    int a[3][4] = {1, 2, 3, 4, 4, 3, 2, 1, 7, 8, 9, 0};
    printf(""%u, %u\n"", a+1, &a+1);
    return 0;
}
What will be the output of the program in Turb C (under DOS)?
",1,10,0,6,B,C
1,1,"#include<stdio.h>

int main()
{
    int a[3][4] = {1, 2, 3, 4, 4, 3, 2, 1, 7, 8, 9, 0};
    printf(""%u, %u\n"", a+1, &a+1);
    return 0;
}
What will be the output of the program in Turb C (under DOS)?
","65486, 65488","65486, 65486","65486, 65490","65486, 65487",B,C
1,1,"#include<stdio.h>

int main()
{
    int a[3][4] = {1, 2, 3, 4, 4, 3, 2, 1, 7, 8, 9, 0};
    printf(""%u, %u\n"", a+1, &a+1);
    return 0;
}
What will be the output of the program in Turb C (under DOS)?
",5,4,6,7,B,C
1,1,"#include<stdio.h>

int main()
{
    char huge *near *far *ptr1;
    char near *far *huge *ptr2;
    char far *huge *near *ptr3;
    printf(""%d, %d, %d\n"", sizeof(ptr1), sizeof(*ptr2), sizeof(**ptr3));
    return 0;
}
What will be the output of the program?
","4343445454, 4343445454","4545455434, 4545455434","4294967295, 4294967295",Garbage values,C,C
1,1,"#include<stdio.h>

int main()
{
    char huge *near *far *ptr1;
    char near *far *huge *ptr2;
    char far *huge *near *ptr3;
    printf(""%d, %d, %d\n"", sizeof(ptr1), sizeof(*ptr2), sizeof(**ptr3));
    return 0;
}
What will be the output of the program?
",4,8,16,22,B,C
1,1,"#include<stdio.h>

int main()
{
    char huge *near *far *ptr1;
    char near *far *huge *ptr2;
    char far *huge *near *ptr3;
    printf(""%d, %d, %d\n"", sizeof(ptr1), sizeof(*ptr2), sizeof(**ptr3));
    return 0;
}
What will be the output of the program?
","4, 4, 4","4, 2, 2","2, 8, 4","2, 4, 8",B,C
1,1,"#include<stdio.h>

int main()
{
    char huge *near *far *ptr1;
    char near *far *huge *ptr2;
    char far *huge *near *ptr3;
    printf(""%d, %d, %d\n"", sizeof(ptr1), sizeof(*ptr2), sizeof(**ptr3));
    return 0;
}
What will be the output of the program?
","Nagpur, Chennai, Bangalore","agpur, hennai, angalore","agpur, Chennai, angalore","agpur, Bangalore, Bangalore",D,C
